date,ticker,open,high,low,close,volume,value,num_trades,wap,shares_outstanding
2022-01-03,GAZP,345.0,353.88,344.3,353.73,40118360,14049786413.6,102719,350.21,23673512900
2022-01-04,GAZP,353.98,358.1,348.35,352.55,52707650,18613756907.7,109063,353.15,23673512900
2022-01-05,GAZP,351.9,353.5,331.55,335.0,80976450,27818263774.4,164974,343.54,23673512900
2022-01-06,GAZP,335.9,347.67,330.11,346.13,74599950,25458415508.6,136655,341.26,23673512900
2022-01-07,GAZP,,,,,0,0.0,0,,23673512900
2022-01-10,GAZP,348.56,351.0,340.51,344.0,51090750,17645900852.8,121753,345.36,23673512900
2022-01-11,GAZP,344.68,347.0,341.27,343.74,41969410,14424717107.6,78443,343.7,23673512900
2022-01-12,GAZP,344.48,348.64,339.57,347.43,53456250,18459005855.8,108232,345.3,23673512900
2022-01-13,GAZP,347.01,347.5,333.49,337.6,118269470,40075191158.8,194209,338.81,23673512900
2022-01-14,GAZP,338.59,340.96,321.51,335.76,120568340,39984841400.5,221668,331.62,23673512900
2022-01-17,GAZP,335.9,338.95,319.17,327.81,96946290,31873356333.6,182406,328.83,23673512900
2022-01-18,GAZP,329.11,329.3,296.7,301.11,220122140,67931962524.0,374102,308.62,23673512900
2022-01-19,GAZP,299.0,320.42,282.72,318.36,220090450,67619835390.9,374527,307.16,23673512900
2022-01-20,GAZP,318.4,326.69,310.07,310.42,130272450,41253801322.2,232265,316.67,23673512900
2022-01-21,GAZP,309.49,321.99,303.5,311.6,119138170,37295311721.4,197266,313.0,23673512900
2022-01-24,GAZP,310.8,314.0,280.6,294.59,236552480,69206152250.1,412482,292.56,23673512900
2022-01-25,GAZP,293.94,305.0,289.62,302.96,143186690,42470714906.6,229378,296.62,23673512900
2022-01-26,GAZP,302.9,307.7,293.7,299.6,125078000,37750723752.0,222767,301.82,23673512900
2022-01-27,GAZP,296.93,330.0,294.0,325.25,216081130,68501410536.0,333005,317.02,23673512900
2022-01-28,GAZP,325.5,334.9,322.05,329.58,116239740,38206834185.5,204702,328.69,23673512900
2022-01-31,GAZP,330.9,336.41,330.52,334.8,69919140,23307105681.9,141780,333.35,23673512900
2022-02-01,GAZP,334.95,336.63,325.3,330.95,68010800,22512250305.6,142361,331.0,23673512900
2022-02-02,GAZP,332.39,333.7,325.7,331.7,54760820,18085881557.2,101744,330.27,23673512900
2022-02-03,GAZP,330.0,331.0,322.3,323.75,57601360,18763605610.7,114834,325.75,23673512900
2022-02-04,GAZP,325.5,334.5,320.88,324.6,88655550,28956936055.9,165959,326.62,23673512900
2022-02-07,GAZP,324.51,327.44,316.64,321.25,56310540,18071846393.8,114705,320.93,23673512900
2022-02-08,GAZP,321.45,331.87,319.0,331.7,77966650,25521822182.7,138397,327.35,23673512900
2022-02-09,GAZP,332.3,336.0,330.18,335.08,63273270,21133097245.3,128451,334.0,23673512900
2022-02-10,GAZP,335.41,335.47,328.1,328.93,61934110,20476565881.6,130975,330.62,23673512900
2022-02-11,GAZP,328.97,328.97,316.2,318.1,100771640,32493791824.6,209628,322.43,23673512900
2022-02-14,GAZP,314.1,324.9,303.25,321.85,121315290,38313359200.6,232631,315.78,23673512900
2022-02-15,GAZP,322.43,335.5,322.43,333.6,96884740,32107612535.7,184583,331.4,23673512900
2022-02-16,GAZP,335.86,339.98,331.62,336.5,77190530,25955539662.1,147824,336.25,23673512900
2022-02-17,GAZP,336.37,336.37,322.04,323.51,102164080,33476549405.5,184173,327.67,23673512900
2022-02-18,GAZP,325.51,329.32,306.7,309.48,125466600,39589976977.6,250944,315.58,23673512900
2022-02-21,GAZP,309.48,318.9,241.0,257.3,413310930,117077290074.7,796371,283.27,23673512900
2022-02-22,GAZP,253.95,284.07,246.7,283.51,324950590,87288172116.2,602983,268.62,23673512900
2022-02-23,GAZP,,,,,0,0.0,0,,23673512900
2022-02-24,GAZP,255.02,255.02,126.53,210.0,414024040,73517073921.3,820665,177.46,23673512900
2022-02-25,GAZP,208.01,244.94,191.6,228.0,211877250,46878977855.9,446781,221.39,23673512900
2022-02-28,GAZP,,,,,0,0.0,0,,23673512900
