ticker,rows,min_date,max_date,shares_outstanding_known,status,error
AFLT,1105,2022-01-03,2026-05-12,True,ok,
ALRS,1105,2022-01-03,2026-05-12,True,ok,
CHMF,1105,2022-01-03,2026-05-12,True,ok,
GAZP,1105,2022-01-03,2026-05-12,True,ok,
GMKN,1105,2022-01-03,2026-05-12,True,ok,
LKOH,1105,2022-01-03,2026-05-12,True,ok,
MGNT,1105,2022-01-03,2026-05-12,True,ok,
MOEX,1105,2022-01-03,2026-05-12,True,ok,
NVTK,1105,2022-01-03,2026-05-12,True,ok,
PHOR,1105,2022-01-03,2026-05-12,True,ok,
PLZL,1105,2022-01-03,2026-05-12,True,ok,
ROSN,1105,2022-01-03,2026-05-12,True,ok,
RUAL,1105,2022-01-03,2026-05-12,True,ok,
SBER,1105,2022-01-03,2026-05-12,True,ok,
SNGS,1105,2022-01-03,2026-05-12,True,ok,
TATN,1105,2022-01-03,2026-05-12,True,ok,
VTBR,1105,2022-01-03,2026-05-12,True,ok,
YNDX,637,2022-01-03,2024-07-09,False,ok,
