ticker,company_name,report_period_end,publish_date,report_type,accounting_standard,language,source_url,source_name,local_path,discovery_status,discovery_error,download_status,content_type,detected_extension,parse_status,parse_error,file_sha256,report_revenue,report_ebitda,report_net_profit,report_operating_cash_flow,report_free_cash_flow,report_capex,report_total_debt,report_short_term_debt,report_long_term_debt,report_cash_and_equivalents,report_interest_expense,report_total_assets,report_total_equity,report_dividends,report_provisions,report_cet1_ratio,report_text_length,report_word_count,report_sanctions_count,report_sanctions_flag,report_currency_fx_count,report_currency_fx_flag,report_liquidity_refinancing_count,report_liquidity_refinancing_flag,report_covenant_count,report_covenant_flag,report_impairment_count,report_impairment_flag,report_litigation_count,report_litigation_flag,report_going_concern_count,report_going_concern_flag,report_dividend_pressure_count,report_dividend_pressure_flag,report_tax_pressure_count,report_tax_pressure_flag,report_capex_pressure_count,report_capex_pressure_flag,report_demand_pressure_count,report_demand_pressure_flag,report_auditor_emphasis_count,report_auditor_emphasis_flag,report_related_party_count,report_related_party_flag,report_text_risk_terms_total,report_text_risk_density,report_net_debt,report_net_debt_to_ebitda,report_interest_coverage,report_ebitda_margin,report_net_margin,report_operating_cf_margin,report_free_cf_margin,report_capex_intensity,report_equity_ratio,report_debt_to_assets,report_short_debt_share,report_financial_pressure,report_extraction_quality,report_revenue_missing,report_ebitda_missing,report_net_profit_missing,report_operating_cash_flow_missing,report_free_cash_flow_missing,report_capex_missing,report_total_debt_missing,report_short_term_debt_missing,report_long_term_debt_missing,report_cash_and_equivalents_missing,report_interest_expense_missing,report_total_assets_missing,report_total_equity_missing,report_dividends_missing,report_provisions_missing,report_cet1_ratio_missing,report_document_available,report_revenue_yoy_change,report_ebitda_yoy_change,report_net_profit_yoy_change,report_operating_cash_flow_yoy_change,report_free_cash_flow_yoy_change,report_total_debt_yoy_change,report_net_debt_yoy_change,report_cash_and_equivalents_yoy_change
ALRS,АК АЛРОСА (ПАО),2023-12-31,2025-04-08,annual_report,,,https://www.alrosa.ru/upload/iblock/3a4/5qrm6p2pb7zadkg85bx5kocpa8r2qjt5/%D0%98%D0%B7%D0%BC%D0%B5%D0%BD%D0%B5%D0%BD%D0%B8%D0%B5%20%D0%B2%20%D0%B3%D0%BE%D0%B4%D0%BE%D0%B2%D0%BE%D0%BC%20%D0%BE%D1%82%D1%87%D0%B5%D1%82%D0%B5%20%D0%B7%D0%B0%202023%20%D0%B3%D0%BE%D0%B4%20(%D0%B4%D0%BE%D0%BF%D0%BE%D0%BB%D0%BD%D0%B8%D1%82%D0%B5%D0%BB%D1%8C%D0%BD%D0%BE%D0%B5%20%D1%80%D0%B0%D1%81%D0%BA%D1%80%D1%8B%D1%82%D0%B8%D0%B5).pdf,issuer_ir_auto,ALRS\ALRS_20231231_2025-04-08_annual_report_88f2143c50.pdf,,,downloaded:200,application/pdf,.pdf,parsed_file,,88f2143c5015e8d03904800fd1df95033603823070ec3d46a223a76aeb7809b3,331.0,,17.0,,2200000000.0,,,,,,,,,2043727766.0,31122023.0,,83075.0,11108.0,5.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,9.0,0.0008102268635217861,,,,,0.0513595166163142,,6646525.679758308,,,,,-0.23379546272956428,0.485,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,,,,,,,,
ALRS,АК АЛРОСА (ПАО),2023-12-31,2025-04-08,annual_report,,,https://www.alrosa.ru/upload/iblock/a09/ujqqoxz8fdmuv4hl1pt4nbug1imm5pgt/%D0%93%D0%BE%D0%B4%D0%BE%D0%B2%D0%BE%D0%B9%20%D0%BE%D1%82%D1%87%D0%B5%D1%82%20%D0%B7%D0%B0%202023%20%D0%B3..pdf,issuer_ir_auto,ALRS\ALRS_20231231_2025-04-08_annual_report_801faa0a98.pdf,,,downloaded:200,application/pdf,.pdf,parsed_file,,801faa0a988e34debfb2b4d340fc61877a35e5749ca35b62fea0e844a5a731d8,9.0,1.5,15.0,,336.0,63700000000.0,29.0,,,,,,,27800000000.0,10.0,,251840.0,30810.0,23.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,34.0,0.001103537812398572,,,,0.16666666666666666,1.6666666666666667,,37.333333333333336,7077777777.777778,,,,-0.22792924375202855,0.7100000000000001,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,-0.972809667673716,,-0.11764705882352941,,-0.9999998472727273,,,
ALRS,АК АЛРОСА (ПАО),2024-12-31,2025-06-23,annual_report,,,https://www.alrosa.ru/upload/iblock/725/ay7aa1664g75royw22563v5i0zvnftlm/%D0%93%D0%BE%D0%B4%D0%BE%D0%B2%D0%BE%D0%B9%20%D0%BE%D1%82%D1%87%D0%B5%D1%82%20%D0%90%D0%9B%D0%A0%D0%9E%D0%A1%D0%90%202024.pdf,issuer_ir_auto,ALRS\ALRS_20241231_2025-06-23_annual_report_c0338c2ac5.pdf,,,downloaded:200,application/pdf,.pdf,parsed_file,,c0338c2ac574448044f5ce0fbb094464238a7440f307d3ec5257902e680399cc,244100000000.0,78600000000.0,19200000000.0,,-17.6,58900000000.0,196600000000.0,,,,,,,14900000000.0,2024123.0,,472888.0,60619.0,16.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,4.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,26.0,0.0004289084280506112,,,,0.32199918066366245,0.07865628840639083,,-7.210159770585826e-11,0.24129455141335518,,,,0.008578168579037624,0.7100000000000001,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,27122222221.22222,52399999999.0,1279999999.0,,-1.0523809523809524,6779310343.827586,,
ALRS,АК АЛРОСА (ПАО),2024-12-31,2025-07-07,report,,,https://www.alrosa.ru/upload/iblock/8dd/igwntl0qwo9aenbkr33ai4ndf2325mjp/%D0%90%D0%9B%D0%A0%D0%9E%D0%A1%D0%90_%D0%9E%D0%A3%D0%A0%202024%20%D0%BD%D0%B0%20%D1%81%D0%B0%D0%B9%D1%82.pdf,issuer_ir_auto,ALRS\ALRS_20241231_2025-07-07_report_595844f02f.pdf,,,downloaded:200,application/pdf,.pdf,parsed_file,,595844f02fbd2efd6094f2bfd1b3fb32b03310b94caf9bbe6b1a5de69fab338e,57200000000.0,,,,,11400000000.0,,,,,2.0,,,7.0,24.0,,613016.0,76040.0,8.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.00011835875854813256,,,,,,,,0.1993006993006993,,,,0.002367175170962651,0.42500000000000004,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,-0.7656698074559607,,,,,,,
ALRS,АК АЛРОСА (ПАО),2025-12-31,2025-04-08,report,,,https://www.alrosa.ru/upload/2025/02.pdf,issuer_ir_auto,ALRS\ALRS_20251231_2025-04-08_report_100125a550.pdf,,,downloaded:200,application/pdf,.pdf,parsed_file,,100125a5506930ceded749de5b382d1b5732b8799c77c08e4ae3a018d51fded9,,,,,,,,,,,,,,,2.0,,37876.0,4240.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0007075471698113207,,,,,,,,,,,,0.014150943396226415,0.18219999999999997,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,,,,,,,,
ALRS,АК АЛРОСА (ПАО),,2025-04-08,annual_report,,,https://www.alrosa.ru/upload/iblock/a55/Annual-report-2009-rus.pdf,issuer_ir_auto,ALRS\ALRS_unknown_2025-04-08_annual_report_2c30552665.pdf,,,downloaded:200,application/pdf,.pdf,parsed_file,,2c30552665e5f6e01f530ef4ad6c673f82612babf0696b44b4eadf0522531917,92373900000.0,,2348400000.0,,,26.0,,,,,,,,1823500000.0,5.0,,131223.0,18569.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.00016155958856158112,,,,,0.025422765521429753,,,2.8146478604887313e-10,,,,0.0032311917712316224,0.42500000000000004,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,,,,,,,,
ALRS,АК АЛРОСА (ПАО),,2025-04-08,annual_report,,,https://www.alrosa.ru/upload/iblock/02b/Annual-report-2010-rus.pdf.pdf,issuer_ir_auto,ALRS\ALRS_unknown_2025-04-08_annual_report_62787b021a.pdf,,,downloaded:200,application/pdf,.pdf,parsed_file,,62787b021a7a15483657d6008b7241ff4bdf7fb5979530880936f82f12a3e53f,1234567.0,,1234567.0,,,1720100000.0,70.0,,,,,,,20.0,515.0,,145010.0,20643.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9.688514266337258e-05,,,,,1.0,,,1393.2820170958726,,,,0.0019377028532674518,0.48,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,-0.999986635110134,,-0.9994742944132176,,,,,
ALRS,АК АЛРОСА (ПАО),,2025-04-08,annual_report,,,https://www.alrosa.ru/upload/iblock/a2a/%D0%93%D0%BE%D0%B4%D0%BE%D0%B2%D0%BE%D0%B8%CC%86-%D0%BE%D1%82%D1%87%D0%B5%D1%82-%D0%B7%D0%B0-2016-%D0%B3%D0%BE%D0%B4-1.pdf,issuer_ir_auto,ALRS\ALRS_unknown_2025-04-08_annual_report_cd386d2fb3.pdf,,,downloaded:200,application/pdf,.pdf,parsed_file,,cd386d2fb397dd383cb1cefdd7d1ba84a2b8bca6cbc42cdbe5966c5f3b4d6c9a,41.2,0.6,133.5,,,19222513.0,22315914233563.8,,,73041020503.0,,,18.0,42.0,11234298128853.0,,592855.0,84203.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,5.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.00015438879849886584,22242873213060.8,37071455355101.336,,0.014563106796116504,3.240291262135922,,,466565.8495145631,,,,0.3530877759699773,0.765,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,-0.9999666279756385,,-0.9998918649210614,,,318798774764.19714,,
ALRS,АК АЛРОСА (ПАО),,2025-04-08,annual_report,,,https://www.alrosa.ru/upload/iblock/bd1/%D0%90%D0%9B%D0%A0%D0%9E%D0%A1%D0%90-%D0%93%D0%BE%D0%B4%D0%BE%D0%B2%D0%BE%D0%B8%CC%86-%D0%BE%D1%82%D1%87%D0%B5%D1%82-2019.pdf,issuer_ir_auto,ALRS\ALRS_unknown_2025-04-08_annual_report_ff5f7356a9.pdf,,,downloaded:200,application/pdf,.pdf,parsed_file,,ff5f7356a935d6ccfaf3b9d251d31ed3d3e147af0f2a7cf89a981225d07c4fd7,26.0,107100000000.0,62700000000.0,,47600000000.0,28.0,9341067117310.0,,,274377381.0,,,1.0,1.0,-0.1,,558418.0,73683.0,3.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,3.0,1.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,21.0,0.0002850046822197793,9340792739929.0,87.21561848673203,,4119230769.230769,2411538461.5384617,,1830769230.7692308,1.0769230769230769,,,,0.10570009364439556,0.88,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,-0.3689320388349515,178499999999.0,469662920.3483146,,,-0.5814167853692161,-0.5800545797094155,-0.9962435166005282
GAZP,??? ???????,2021-09-30,2021-11-26,ifrs_9m,IFRS,ru,,manual_gazp,GAZP\gazprom-ifrs-2021-9mnth-ru.pdf,,,manual,application/pdf,.pdf,parsed_file,,f81d78b3d3909ad521c266088a541f826bc219570494b946026b706393eec6a7,3.0852931938112896e+53,,,,,2004325000000.0,,,,13076301034919.0,1.8299153125290949e+19,2251093321372672.0,,47015625.0,1082271000000.0,,151676.0,21419.0,33.0,1.0,19.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,1.0,71.0,0.0033148139502311032,,,,,,,,6.496384214052733e-42,,,,0.06629627900462207,0.535,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,,,,,,,,
