date,ticker,open,high,low,market_close,value,capitalization
2022-01-03,IMOEX,3825.3,3866.15,3823.5,3852.5,52472868137.9,19050000386308.637
2022-01-04,IMOEX,3880.2,3892.33,3846.81,3873.49,62624414462.0,19153798451398.637
2022-01-05,IMOEX,3857.9,3875.25,3805.06,3815.05,59842279698.45,18864822163313.258
2022-01-06,IMOEX,3758.68,3784.17,3720.17,3753.29,83469097491.95,18559424880874.74
2022-01-07,IMOEX,3772.04,3772.04,3772.04,3772.04,0.0,18652144885318.18
2022-01-10,IMOEX,3798.43,3806.84,3726.73,3738.68,85302196824.3,18487190627063.824
2022-01-11,IMOEX,3764.56,3800.91,3751.45,3785.29,81053376709.85,18717680108245.777
2022-01-12,IMOEX,3797.31,3841.72,3783.92,3829.95,100865330719.7,18938495939185.15
2022-01-13,IMOEX,3814.98,3818.97,3664.48,3674.73,178770807642.9,18170960657063.582
2022-01-14,IMOEX,3703.9,3723.62,3512.03,3596.98,253410592849.3,17786510970653.58
2022-01-17,IMOEX,3633.01,3651.36,3501.94,3560.35,156354454242.75,17605381085684.953
2022-01-18,IMOEX,3527.77,3534.56,3297.12,3328.94,302733934140.55,16461095067551.904
2022-01-19,IMOEX,3290.31,3500.27,3256.6,3436.82,257223110460.45,16994531502920.621
2022-01-20,IMOEX,3519.02,3533.61,3403.74,3516.02,191687148184.9,17386203721894.97
2022-01-21,IMOEX,3420.12,3503.84,3407.27,3439.25,180588337458.0,17006575540684.14
2022-01-24,IMOEX,3426.19,3426.47,3158.46,3235.28,262889650990.6,15997967950133.695
2022-01-25,IMOEX,3316.98,3330.9,3229.45,3258.74,157537334538.2,16113969875965.834
2022-01-26,IMOEX,3341.71,3412.15,3276.06,3357.66,160814042402.85,16603125470284.545
2022-01-27,IMOEX,3296.47,3525.94,3284.49,3455.93,237136967964.7,17089047450506.557
2022-01-28,IMOEX,3508.57,3534.4,3446.01,3488.6,143424640143.0,17250576968075.86
2022-01-31,IMOEX,3524.11,3566.05,3518.55,3530.38,117693256585.8,17457205741984.42
2022-02-01,IMOEX,3564.55,3584.71,3531.35,3548.17,110134440838.2,17545177826965.012
2022-02-02,IMOEX,3574.87,3580.22,3516.17,3543.8,110896294130.6,17523556285749.535
2022-02-03,IMOEX,3498.76,3519.23,3446.65,3471.18,102906904754.15,17164460711855.559
2022-02-04,IMOEX,3499.32,3556.32,3464.14,3471.01,124982530504.55,17163608222869.805
2022-02-07,IMOEX,3511.39,3521.26,3437.93,3470.78,74559343723.85,17162469377249.54
2022-02-08,IMOEX,3497.18,3551.65,3487.64,3551.65,121464922915.6,17562382627360.762
2022-02-09,IMOEX,3593.0,3638.93,3580.45,3638.93,137282606163.35,17993968936021.91
2022-02-10,IMOEX,3628.51,3655.76,3592.75,3655.76,136808104131.2,18077181608795.395
2022-02-11,IMOEX,3579.69,3596.74,3514.12,3546.62,136512105820.75,17537511259439.844
2022-02-14,IMOEX,3442.82,3524.87,3404.35,3481.38,188828937775.65,17214911511838.717
2022-02-15,IMOEX,3532.0,3614.15,3514.98,3600.29,185244698014.9,17802891706883.53
2022-02-16,IMOEX,3682.94,3683.95,3608.01,3646.41,141370949768.1,18030936281201.41
2022-02-17,IMOEX,3588.27,3595.12,3498.2,3511.08,166699291103.35,17361772936543.238
2022-02-18,IMOEX,3547.04,3565.52,3371.05,3393.31,176700371489.15,16779384283925.133
2022-02-21,IMOEX,3458.73,3460.42,2910.49,3036.88,469404900519.2,15016896450471.83
2022-02-22,IMOEX,2909.4,3113.4,2756.46,3084.74,430550627229.75,15253552050708.1
2022-02-24,IMOEX,2735.88,2740.31,1681.55,2058.12,246452894354.77,10177076362197.01
2022-02-25,IMOEX,2261.33,2552.46,2256.09,2470.48,189354389723.36,12216154349897.646
2022-03-24,IMOEX,2474.52,2761.17,2447.68,2578.51,100222210672.2,12750332493283.037
2022-03-25,IMOEX,2620.62,2664.74,2470.69,2484.13,49167284761.2,12283621511262.43
2022-03-28,IMOEX,2479.49,2484.57,2407.2,2430.7,25937057002.85,12019460515715.344
2022-03-29,IMOEX,2442.43,2538.2,2363.62,2408.49,59068848968.85,11909608641202.867
2022-03-30,IMOEX,2437.92,2513.03,2437.92,2513.03,39721405988.35,12426568849678.89
2022-03-31,IMOEX,2535.32,2703.51,2533.39,2703.51,80017047214.7,13368431332556.445
2022-04-01,IMOEX,2714.62,2817.72,2714.62,2759.64,77972322862.8,13646014592832.201
2022-04-04,IMOEX,2775.06,2835.46,2682.34,2787.69,67754307203.25,13784704528217.094
