ticker,company_name,report_period_end,publish_date,report_type,accounting_standard,language,source_name,source_page,source_url,local_path,download_status,content_type,detected_extension,file_sha256,bytes,link_text,score,error
ROSN,ПАО НК Роснефть,,2024-07-29,ifrs_q,IFRS,,issuer_ir_auto,https://www.rosneft.com/Investors/Reports_and_presentations/Consolidated_financial_statements/,https://www.rosneft.com/upload/site2/document_cons_report/2023_third_quarter_IFRS_en.pdf,ROSN\ROSN_unknown_2024-07-29_ifrs_q_c18a3d0588.pdf,downloaded:200,application/pdf,.pdf,c18a3d0588da67519b9a22edbaf959a82f9d50a660351edd38824a18ff2d5abb,677664,,13,
ROSN,ПАО НК Роснефть,,2024-07-29,ifrs_q,IFRS,,issuer_ir_auto,https://www.rosneft.com/Investors/Reports_and_presentations/Consolidated_financial_statements/,https://www.rosneft.com/upload/site2/document_cons_report/2023_Second_quarter_IFRS.pdf,ROSN\ROSN_unknown_2024-07-29_ifrs_q_97dda9fa21.pdf,downloaded:200,application/pdf,.pdf,97dda9fa21ae0f826ac883c3f9254a7bd872010bb04788e7c6b5117854967cf0,681181,,13,
ROSN,ПАО НК Роснефть,,2024-07-29,ifrs,IFRS,,issuer_ir_auto,https://www.rosneft.com/Investors/Reports_and_presentations/Consolidated_financial_statements/,https://www.rosneft.com/upload/site2/document_cons_report/Rosnseft_IFRS_12m2021_en.pdf,ROSN\ROSN_unknown_2024-07-29_ifrs_e9ec422387.pdf,downloaded:200,application/pdf,.pdf,e9ec4223876b11a06e3e718b174706e140e5ef3726d342fb60ff6a2a64bc6cd5,3319612,,11,
ROSN,ПАО НК Роснефть,,2024-07-29,report,,,issuer_ir_auto,https://www.rosneft.com/Investors/Reports_and_presentations/Consolidated_financial_statements/,https://www.rosneft.com/upload/site2/document_cons_report/Q42021_Results_ENG_final.pdf,ROSN\ROSN_unknown_2024-07-29_report_4324d4ce69.pdf,downloaded:200,application/pdf,.pdf,4324d4ce69688c33b72cdaa9778be68775d0b3834d68de444f50e223c80332e7,7817842,,11,
ROSN,ПАО НК Роснефть,,2024-07-29,ifrs_9m,IFRS,,issuer_ir_auto,https://www.rosneft.com/Investors/Reports_and_presentations/Consolidated_financial_statements/,https://www.rosneft.com/upload/site2/document_cons_report/Rosneft_IFRS_9m2021_ENG.pdf,ROSN\ROSN_unknown_2024-07-29_ifrs_9m_a3c6af18d5.pdf,downloaded:200,application/pdf,.pdf,a3c6af18d58089a26874b2618467a008d381232fd7a33ecc6cf71ef30afa62ac,2075984,,11,
ROSN,ПАО НК Роснефть,,2024-07-29,report,,,issuer_ir_auto,https://www.rosneft.com/Investors/Reports_and_presentations/Consolidated_financial_statements/,https://www.rosneft.com/upload/site2/document_cons_report/Q32021_Results_ENG_final.pdf,ROSN\ROSN_unknown_2024-07-29_report_d4f4a1fafd.pdf,downloaded:200,application/pdf,.pdf,d4f4a1fafd43991ec7c4eae40823bc25c812526554909454b67ee78cee8cbc2f,7380266,,11,
ROSN,ПАО НК Роснефть,,2024-07-29,ifrs_h1,IFRS,,issuer_ir_auto,https://www.rosneft.com/Investors/Reports_and_presentations/Consolidated_financial_statements/,https://www.rosneft.com/upload/site2/document_cons_report/Rosneft_IFRS_6m2021_ENG_final.pdf,ROSN\ROSN_unknown_2024-07-29_ifrs_h1_77429cc92b.pdf,downloaded:200,application/pdf,.pdf,77429cc92b832204ba9f9ffffe205f472fdcd8042cc5797fd28b161c7fe5c739,1517432,,11,
ROSN,ПАО НК Роснефть,,2024-07-29,report,,,issuer_ir_auto,https://www.rosneft.com/Investors/Reports_and_presentations/Consolidated_financial_statements/,https://www.rosneft.com/upload/site2/document_cons_report/Q22021_Results_ENG_final.pdf,ROSN\ROSN_unknown_2024-07-29_report_609851ecda.pdf,downloaded:200,application/pdf,.pdf,609851ecdae2fcaf80b0cc73eaeb2fbfb2d4b1dd0e1bab985b8b232a4e13db41,7334692,,11,
ROSN,ПАО НК Роснефть,,2024-07-29,ifrs,IFRS,,issuer_ir_auto,https://www.rosneft.com/Investors/Reports_and_presentations/Consolidated_financial_statements/,https://www.rosneft.com/upload/site2/document_cons_report/Rosneft_IFRS_3m2021_ENG_final.pdf,ROSN\ROSN_unknown_2024-07-29_ifrs_7363eb2b56.pdf,downloaded:200,application/pdf,.pdf,7363eb2b560fd7ec3576af5f37222d67d4511897777653f643dc4cd63c74f088,1291679,,11,
ROSN,ПАО НК Роснефть,,2024-07-29,ifrs_q,IFRS,,issuer_ir_auto,https://www.rosneft.com/Investors/Reports_and_presentations/Consolidated_financial_statements/,https://www.rosneft.com/upload/site2/document_cons_report/Q12021_Results_ENG_final.pdf,ROSN\ROSN_unknown_2024-07-29_ifrs_q_575a2b733d.pdf,downloaded:200,application/pdf,.pdf,575a2b733d886029f5f2c48adf8d3a3b4a58601c8bb7e34ec01b9e23cc815b10,7250180,,11,
ROSN,ПАО НК Роснефть,2022-12-31,,ifrs,,,issuer_ir_auto,https://www.rosneft.com/Investors/,https://www.rosneft.com/press/news/item/209367/,,failed,,,,0,"Rosneft will report its Q4 and 12M 2021 IFRS financial results on Friday, February 11, 2022.",10,not a report document: detected_ext=.html
ROSN,ПАО НК Роснефть,2021-09-30,,ifrs,,,issuer_ir_auto,https://www.rosneft.com/Investors/,https://www.rosneft.com/press/news/item/208255/,,failed,,,,0,"Rosneft will report its Q3 2021 IFRS financial results on Friday, November 12, 2021.",10,not a report document: detected_ext=.html
