ticker,company_name,issuer_url
ROSN,ПАО НК Роснефть,https://www.rosneft.com/Investors/Reports_and_presentations/Consolidated_financial_statements/
ROSN,ПАО НК Роснефть,https://www.rosneft.com/Investors/Reports_and_presentations/Annual_reports/
NVTK,ПАО НОВАТЭК,https://www.novatek.ru/ru/investors/results/?id_4=3527
VTBR,Банк ВТБ (ПАО),https://www.vtb.com/ir/financial-results/ifrs-financial-results/
VTBR,Банк ВТБ (ПАО),https://www.vtb.com/ir/financial-results/annual-reports/
ALRS,АК АЛРОСА (ПАО),https://www.alrosa.ru/investors/results-reports/reports/2021/
RUAL,МКПАО ОК РУСАЛ,https://rusal.ru/en/investors/financial-stat/presentations/
RUAL,МКПАО ОК РУСАЛ,https://rusal.ru/investors/financial-stat/annual-reports/
SNGS,ПАО Сургутнефтегаз,https://www.surgutneftegas.ru/en/investors/essential_information/reporting/
SNGS,ПАО Сургутнефтегаз,https://www.surgutneftegas.ru/investors/essential_information/reporting/
