architecture,candidate,validation_macro_f1_argmax,validation_high_recall_argmax,validation_selection_objective
baseline_v1,weighted_ensemble_argmax,0.657317388828493,0.8676470588235294,0.6833468005931989
baseline_v1,weighted_ensemble_calibrated_policy,0.657317388828493,0.8676470588235294,0.6833468005931989
baseline_v1,gb,0.6450026819238334,0.8529411764705882,0.670590917217951
baseline_v1,extra,0.6221534075548675,0.8382352941176471,0.6473004663783969
baseline_v1,rf,0.5805471124620061,0.8676470588235294,0.6065765242267119
baseline_v1,mlp,0.16234214893367635,0.16176470588235295,0.16719509011014694
regime_v1,weighted_ensemble_argmax,0.6745923549852981,0.9117647058823529,0.7019452961617687
regime_v1,weighted_ensemble_calibrated_policy,0.6745923549852981,0.9117647058823529,0.7019452961617687
regime_v1,gb,0.6514938568254975,0.8676470588235294,0.6775232685902034
regime_v1,rf,0.6197005516154452,0.8676470588235294,0.6457299633801511
regime_v1,extra,0.3717592592592593,0.9852941176470589,0.40131808278867104
regime_v1,mlp,0.1762148337595908,0.23529411764705882,0.18327365728900255
enriched_v2_without_reports,weighted_ensemble_calibrated_policy,0.6910953506698188,0.8823529411764706,0.7175659389051129
enriched_v2_without_reports,weighted_ensemble_argmax,0.6897163120567376,0.8823529411764706,0.7161869002920317
enriched_v2_without_reports,gb,0.6405388025857109,0.7941176470588235,0.6643623319974756
enriched_v2_without_reports,rf,0.6281746031746032,0.8676470588235294,0.654204014939309
enriched_v2_without_reports,extra,0.5450281284406437,0.8676470588235294,0.5710575402053496
enriched_v2_without_reports,mlp,0.18745704467353952,0.29411764705882354,0.19628057408530422
enriched_v2_with_reports,weighted_ensemble_calibrated_policy,0.6848384424192213,0.8676470588235294,0.7108678541839272
enriched_v2_with_reports,weighted_ensemble_argmax,0.645930964978584,0.8235294117647058,0.6706368473315252
enriched_v2_with_reports,gb,0.6237654320987653,0.8235294117647058,0.6484713144517065
enriched_v2_with_reports,rf,0.6123260898562323,0.8529411764705882,0.63791432515035
enriched_v2_with_reports,mlp,0.4388888888888889,0.5588235294117647,0.45565359477124184
enriched_v2_with_reports,extra,0.38081318097262823,0.8382352941176471,0.40596023979615764
ann_regime_v3,weighted_ensemble_argmax,0.6897305684863874,0.8823529411764706,0.7162011567216815
ann_regime_v3,weighted_ensemble_calibrated_policy,0.6897305684863874,0.8823529411764706,0.7162011567216815
ann_regime_v3,gb,0.621264802217183,0.8088235294117647,0.645529508099536
ann_regime_v3,rf,0.6149527186761229,0.8676470588235294,0.6409821304408287
ann_regime_v3,extra,0.5777793634936492,0.8676470588235294,0.6038087752583551
ann_regime_v3,mlp,0.3682877836247383,0.7205882352941176,0.3899054306835618
