feature,rf_importance,extra_importance,gb_importance,mlp_importance,enriched_importance,regime_importance,ann_branch_importance
cbr_key_rate,0.059683817229886305,0.06595623570409496,0.0676198423668146,0.014290026477839682,0.054995752011423045,0.12510623675912985,0.06558587595843925
rate_fx_pressure,0.06623563365611056,0.05897126828782059,0.1274493651275655,0.01565898842433506,0.05103524885195248,0.0,0.05862424093708367
average_market_correlation_60d,0.033998461716783036,0.06309583047490026,0.02504840475956258,0.014583957009181152,0.050483718905944726,0.09996864413260732,0.05484980280377072
ofz_slope_10y_2y,0.04008743209639086,0.045913368260326694,0.01656387278119061,0.01443987269270998,0.039036075530409775,0.08334771433928431,0.0359782260494675
curve_inversion_flag,0.009976909486354293,0.04587221771833363,0.00013091986930818843,0.015090755901251878,0.03612639453171935,0.0,0.03113176099471629
log_market_cap_sector_z,0.04513465080719435,0.03710470556906836,0.07380295608067074,0.014995185786461557,0.0334857961363596,0.0,0.04275139286564521
usd_rub,0.028885183222083503,0.03781357654786126,0.017903438173497543,0.015654096339169744,0.03248884117354518,0.06353209824243145,0.03088649351129777
log_market_cap_cs_rank,0.025097968086639538,0.03106902839427065,0.003111267129655224,0.015107815543292453,0.0272796797933119,0.0,0.02228425408310404
turnover_ratio_cs_rank,0.02482063345077492,0.02859870629539281,0.016872562978963525,0.015077778730081303,0.025516713497868722,0.0,0.02515406621124039
macro_pressure,0.026937072190138897,0.0272987738648147,0.006515799007914214,0.016461861667087657,0.025095221257801715,0.0,0.020193018962163203
log_market_cap,0.04430515110695151,0.022001159271896522,0.042746110771606775,0.01659277715862487,0.02314988203274769,0.06938658762371569,0.024285416117569326
regime_cluster=regime_0,0.008103063141615872,0.027448620197274815,0.000407584671210168,0.014567061992809124,0.022937752850815785,0.03927786396854769,0.020236258890125966
momentum_6m,0.030716504647331812,0.023501331175010274,0.04033513818426167,0.016979000033982915,0.022918382294036956,0.055930347918146134,0.0243606695289249
regime_cluster=regime_1,0.008021895098723263,0.026420360170019596,4.292614627790835e-05,0.014102370415393353,0.022116915711964717,0.03347262006060081,0.02436128623623665
sector=banks_financials,0.00796042300700194,0.025917004858345662,0.01656723502242537,0.014676925055568626,0.021873330712655886,0.03899158166180595,0.0235899518115555
turnover_ratio_sector_z,0.026954365124784215,0.021915595301242444,0.036577196715324584,0.015611393177878633,0.02115863185892386,0.0,0.024716356213300116
imoex_realized_vol_20d,0.0197422255077354,0.021899041064441436,0.005274704489654799,0.0159461877315126,0.02049278884218507,0.04702946703196308,0.023418954260752804
size_liquidity_interaction,0.024990480945337155,0.01885961014366202,0.019738239493428282,0.014259904894694728,0.018552756174036074,0.0,0.017166719760100868
avg_daily_traded_value_20d,0.029272105748644875,0.016773860860226215,0.043302218363295765,0.015532839705887102,0.017775481118200258,0.0521870335638649,0.021274812543955773
amihud_20d_sector_z,0.02468567407347917,0.017136220063438526,0.04249367793921933,0.014165417132247612,0.01729700487820441,0.0,0.018875325867699244
avg_daily_traded_value_20d_cs_rank,0.023514610141366937,0.016298426656996875,0.030641451018130997,0.014994157490308023,0.016759191172096115,0.0,0.017764758727415633
momentum_reversal_risk,0.015362256866914835,0.01729134755103503,0.007159799444113947,0.015423977911186297,0.016724964554653263,0.0,0.012821259905283568
rolling_vol_20d_cs_rank,0.018995921632755326,0.016917841011410858,0.016073599002110542,0.013658779180196137,0.01647383670730236,0.0,0.01598726256368124
rolling_vol_20d,0.0254210364325375,0.014421691468181896,0.015174734046895032,0.01481020059120493,0.015599327789222066,0.0392782981461262,0.013481694558294658
amihud_20d_cs_rank,0.013325278897332078,0.015340196698656683,0.006409602336651726,0.015162957770956949,0.015103257132984277,0.0,0.013259757208157346
downside_vol_60d,0.019946741332075142,0.01396367144065469,0.024124687868439167,0.016139866144908296,0.014997217370647457,0.03905983976598592,0.016870813573597664
downside_to_total_vol,0.023036373353948862,0.013441409479144652,0.03410498014728954,0.014283500421486553,0.014569324055093454,0.0,0.016834910423124294
avg_daily_traded_value_20d_sector_z,0.02130705072115417,0.013427270833754631,0.015856268278286276,0.015195848505272827,0.014568964356798227,0.0,0.014149281042284145
liquidity_stress,0.02194691743193195,0.013131199973838218,0.015117690832481857,0.015689073150987054,0.014524346355077359,0.0,0.011573839454758443
downside_vol_60d_cs_rank,0.01615577963975018,0.013947090013460822,0.008051930029653997,0.014817310208696562,0.014342003015136908,0.0,0.014249007287848874
sector=technology,0.00590408066085184,0.014506588799877354,0.03386132773227627,0.015331191690164083,0.01381125856403215,0.02215215041098105,0.01599555341686564
sector=metals_mining,0.0031446327209267793,0.01445582606159431,0.004139993644034708,0.015554201729205663,0.013544381861049826,0.01783879220168562,0.012390803483929388
turnover_ratio,0.024390415856272874,0.011260433479740607,0.04057687490153365,0.01503363939411459,0.01332807290026863,0.04207571677485675,0.016262447026225542
downside_vol_60d_sector_z,0.01586387384167256,0.012254079387745385,0.010494528788284507,0.015216615910504995,0.013207566137690025,0.0,0.01115654174259303
amihud_20d,0.0218736223024839,0.010746295556559284,0.01373985042040597,0.016217715657884327,0.012953312251416755,0.033387960749382134,0.011041037550391675
