architecture,candidate,validation_macro_f1_argmax,validation_high_recall_argmax,validation_selection_objective
baseline_v1,weighted_ensemble_argmax,0.657317388828493,0.8676470588235294,0.657317388828493
baseline_v1,weighted_ensemble_calibrated_policy,0.657317388828493,0.8676470588235294,0.6746703300049636
baseline_v1,gb,0.6450026819238334,0.8529411764705882,0.6620615054532452
baseline_v1,extra,0.6221534075548675,0.8382352941176471,0.6389181134372204
baseline_v1,rf,0.5805471124620061,0.8676470588235294,0.5979000536384766
baseline_v1,mlp,0.16234214893367635,0.16176470588235295,0.1655774430513234
regime_v1,weighted_ensemble_argmax,0.6745923549852981,0.9117647058823529,0.6745923549852981
regime_v1,weighted_ensemble_calibrated_policy,0.6745923549852981,0.9117647058823529,0.6928276491029451
regime_v1,gb,0.6514938568254975,0.8676470588235294,0.6688467980019681
regime_v1,rf,0.6197005516154452,0.8676470588235294,0.6370534927919158
regime_v1,extra,0.3717592592592593,0.9852941176470589,0.3914651416122005
regime_v1,mlp,0.1762148337595908,0.23529411764705882,0.18092071611253197
enriched_v2_without_reports,weighted_ensemble_calibrated_policy,0.6910953506698188,0.8823529411764706,0.7087424094933482
enriched_v2_without_reports,weighted_ensemble_argmax,0.6897163120567376,0.8823529411764706,0.6897163120567376
enriched_v2_without_reports,gb,0.6405388025857109,0.7941176470588235,0.6564211555268874
enriched_v2_without_reports,rf,0.6281746031746032,0.8676470588235294,0.6455275443510737
enriched_v2_without_reports,extra,0.5450281284406437,0.8676470588235294,0.5623810696171143
enriched_v2_without_reports,mlp,0.18745704467353952,0.29411764705882354,0.193339397614716
enriched_v2_with_reports,weighted_ensemble_calibrated_policy,0.6848384424192213,0.8676470588235294,0.7021913835956919
enriched_v2_with_reports,weighted_ensemble_argmax,0.645930964978584,0.8235294117647058,0.645930964978584
enriched_v2_with_reports,gb,0.6237654320987653,0.8235294117647058,0.6402360203340595
enriched_v2_with_reports,rf,0.6123260898562323,0.8529411764705882,0.6293849133856441
enriched_v2_with_reports,mlp,0.4388888888888889,0.5588235294117647,0.45006535947712417
enriched_v2_with_reports,extra,0.38081318097262823,0.8382352941176471,0.3975778868549812
ann_regime_v3,weighted_ensemble_argmax,0.6897305684863874,0.8823529411764706,0.6897305684863874
ann_regime_v3,weighted_ensemble_calibrated_policy,0.6897305684863874,0.8823529411764706,0.7073776273099168
ann_regime_v3,gb,0.621264802217183,0.8088235294117647,0.6374412728054184
ann_regime_v3,rf,0.6149527186761229,0.8676470588235294,0.6323056598525935
ann_regime_v3,extra,0.5777793634936492,0.8676470588235294,0.5951323046701198
ann_regime_v3,mlp,0.3682877836247383,0.7205882352941176,0.38269954833062064
