fold,train_rows,validation_rows,test_rows,macro_f1,weighted_f1,balanced_accuracy,high_recall,high_precision,high_false_negative_rate,ordinal_adjacent_accuracy
1,162,54,54,0.0,0.0,0.0,0.0,0.0,0.0,0.2962962962962963
2,216,54,54,0.38686868686868686,0.5994949494949495,0.6251526251526252,1.0,0.05263157894736842,0.0,0.7777777777777778
3,270,54,54,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333
4,324,54,54,0.05649717514124294,0.015693659761456372,0.3333333333333333,1.0,0.09259259259259259,0.0,0.3888888888888889
5,378,54,54,0.2021047815145276,0.19949922468796868,0.2741179915092959,0.13043478260869565,0.42857142857142855,0.8695652173913043,0.6666666666666666
6,432,54,52,0.22454844006568142,0.37618416066691923,0.47222222222222227,0.4166666666666667,0.75,0.5833333333333334,0.6923076923076923
7,486,52,51,0.23076923076923075,0.36651583710407243,0.3333333333333333,1.0,0.5294117647058824,0.0,0.9019607843137255
8,538,51,51,0.2713178294573643,0.5585955312357501,0.3333333333333333,1.0,0.6862745098039216,0.0,0.9411764705882353
9,589,51,51,0.5517543859649123,0.5791021671826625,0.6666666666666666,0.9375,0.6976744186046512,0.0625,1.0
10,640,51,51,0.48546944858420266,0.3540808275620233,0.5664160401002506,0.8421052631578947,0.38095238095238093,0.15789473684210525,0.9607843137254902
11,691,51,51,0.3989447245261199,0.4631052182351772,0.395021645021645,0.25,0.1111111111111111,0.75,0.7647058823529411
12,742,51,51,0.24232134588671092,0.3038232116430459,0.4688888888888889,1.0,0.05555555555555555,0.0,0.6862745098039216
