architecture,candidate,validation_macro_f1_argmax,validation_high_recall_argmax,validation_selection_objective
baseline_v1,weighted_ensemble_argmax,0.657317388828493,0.8676470588235294,0.6746703300049636
baseline_v1,weighted_ensemble_calibrated_policy,0.657317388828493,0.8676470588235294,0.6746703300049636
baseline_v1,gb,0.6450026819238334,0.8529411764705882,0.6620615054532452
baseline_v1,extra,0.6221534075548675,0.8382352941176471,0.6389181134372204
baseline_v1,rf,0.5805471124620061,0.8676470588235294,0.5979000536384766
regime_v1,weighted_ensemble_argmax,0.6745923549852981,0.9117647058823529,0.6928276491029451
regime_v1,weighted_ensemble_calibrated_policy,0.6745923549852981,0.9117647058823529,0.6928276491029451
regime_v1,gb,0.6514938568254975,0.8676470588235294,0.6688467980019681
regime_v1,rf,0.6197005516154452,0.8676470588235294,0.6370534927919158
regime_v1,extra,0.3717592592592593,0.9852941176470589,0.3914651416122005
enriched_v2_without_reports,weighted_ensemble_argmax,0.6770367721556708,0.8823529411764706,0.6946838309792003
enriched_v2_without_reports,weighted_ensemble_calibrated_policy,0.6770367721556708,0.8823529411764706,0.6946838309792003
enriched_v2_without_reports,gb,0.6405388025857109,0.7941176470588235,0.6564211555268874
enriched_v2_without_reports,rf,0.6281746031746032,0.8676470588235294,0.6455275443510737
enriched_v2_without_reports,extra,0.5450281284406437,0.8676470588235294,0.5623810696171143
enriched_v2_with_reports,weighted_ensemble_calibrated_policy,0.6848384424192213,0.8676470588235294,0.7021913835956919
enriched_v2_with_reports,weighted_ensemble_argmax,0.645930964978584,0.8235294117647058,0.6624015532138782
enriched_v2_with_reports,gb,0.6237654320987653,0.8235294117647058,0.6402360203340595
enriched_v2_with_reports,rf,0.6123260898562323,0.8529411764705882,0.6293849133856441
enriched_v2_with_reports,extra,0.38081318097262823,0.8382352941176471,0.3975778868549812
ann_regime_v3,weighted_ensemble_calibrated_policy,0.690311986863711,0.8676470588235294,0.7076649280401816
ann_regime_v3,weighted_ensemble_argmax,0.6486359283963842,0.8382352941176471,0.6654006342787371
ann_regime_v3,gb,0.6219900497512438,0.7941176470588235,0.6378724026924203
ann_regime_v3,rf,0.5938897298049656,0.8382352941176471,0.6106544356873185
ann_regime_v3,extra,0.5064648138384675,0.8382352941176471,0.5232295197208204
