feature,rf_importance,extra_importance,gb_importance,enriched_importance,regime_importance,ann_branch_importance
beta_60d,0.03633917177508415,0.029807375330547083,0.088120088433146,0.07062627450236633,0.11754475872773362,0.04199913232372673
log_market_cap,0.045745597825642526,0.03480848661198857,0.0692361181135792,0.05890782866310201,0.11662310359697399,0.03660140626929089
beta_vol_interaction,0.043564600300406556,0.04871381476382556,0.040583285971325975,0.04302244460907585,0.0,0.02678687804744837
size_liquidity_interaction,0.03795476104557112,0.02093463475654174,0.050828594341109694,0.04186040646573931,0.0,0.028400642244084506
net_debt_to_ebitda,0.03890872298380152,0.02128057922185913,0.049131577174360876,0.04077627778861036,0.0,0.026282324177875217
net_debt_to_ebitda_cs_rank,0.02636092839437581,0.02924330407114219,0.043377921356773264,0.039137536171083946,0.0,0.040389890591292055
momentum_6m,0.023925015679622817,0.013838123400902845,0.04690610555766207,0.03698571091063431,0.044140450151595095,0.015861122067665906
downside_to_total_vol,0.01707762484591514,0.01902784630820656,0.04464217916472162,0.0369578793077671,0.0,0.016679198158849076
log_market_cap_cs_rank,0.034134949320885934,0.036436120815660764,0.03523651793410423,0.0355963987985712,0.0,0.03011172118481354
turnover_ratio_sector_z,0.02487141782056029,0.018876564094119374,0.04036099417338891,0.03391566514960805,0.0,0.023489809696600614
debt_service_stress,0.016597011466175617,0.023337479874935202,0.03753918800109168,0.03327867556324474,0.0,0.02371362545087811
net_debt_to_ebitda_sector_z,0.023339593591900812,0.031793882378195804,0.023066807380694193,0.02568492987994468,0.0,0.024220274884784555
beta_60d_cs_rank,0.02607565504169874,0.03829355961458538,0.015109618999326925,0.022064801183904463,0.0,0.02591753764018838
fundamental_fragility,0.0339837183124516,0.0240560438698582,0.021110604205633127,0.02199423610490065,0.0,0.02335171485799892
beta_60d_sector_z,0.014539202618327278,0.029852832524682262,0.016324696928524528,0.02038313760737185,0.0,0.021636800019042404
spread_proxy_sector_z,0.009638623622459208,0.016641265040627195,0.021883925015383224,0.020311127022956416,0.0,0.014262039154829048
rolling_vol_20d,0.019116354405224845,0.01305776784973682,0.021080857224769933,0.018673930412260002,0.05603171954888572,0.013727223793256773
free_cash_flow_sector_z,0.012622826612131013,0.008601832932582997,0.022749138679967064,0.018504946955751847,0.0,0.015934202827620918
free_cash_flow_cs_rank,0.010462890220019297,0.010670524388545327,0.019384644058216872,0.01677040815731541,0.0,0.009516475547495813
operating_cash_flow,0.020925355099789725,0.00906117251112259,0.018649942500088074,0.015773311503398432,0.0,0.01253844589744623
downside_vol_60d,0.019689024214082144,0.02314398842824776,0.012574870699107153,0.015745606017849335,0.07039204598958661,0.01764117700097117
turnover_ratio_cs_rank,0.02056766042494347,0.014211245048233172,0.016213504648130542,0.015612826768161333,0.0,0.01746805086827265
ofz_slope_10y_2y,0.01200216351967467,0.014533548742485752,0.015261144740961352,0.015042865941418675,0.04047128267506688,0.010348869859277618
spread_proxy,0.014359503525970816,0.009912727928263015,0.01700754022572131,0.014879096536483824,0.04425223835383196,0.007088454584124635
rate_fx_pressure,0.019636551731770126,0.01793219561679072,0.013010093540563082,0.014486724163431376,0.0,0.012401415581670676
usd_rub,0.009273181595389571,0.019589730171490013,0.009286193417660779,0.012377254443809552,0.031431133874457895,0.012730152342796099
macro_pressure,0.01497455502075584,0.020811926266619016,0.0067074378063096,0.010938784344402427,0.0,0.023988279734270535
log_market_cap_sector_z,0.0174311202135805,0.01189360551277457,0.010331599375974857,0.010800201217014773,0.0,0.019248936974450608
avg_daily_traded_value_20d_sector_z,0.01307159049099116,0.012854311614375852,0.009823988495221722,0.010733085430967963,0.0,0.015356340744682744
liquidity_vol_interaction,0.017456774300268672,0.011571001907549673,0.010028513618046552,0.01049126010489749,0.0,0.009655511838632199
avg_daily_traded_value_20d_cs_rank,0.018380902379410643,0.011978012950778529,0.009484595749117423,0.010232620909615756,0.0,0.010861835963587405
free_cash_flow,0.013310852263820314,0.007368041696886382,0.0113367618530683,0.010146145806213726,0.0,0.012213381001307125
spread_proxy_cs_rank,0.013623256136416328,0.010742273299283506,0.00970552127736496,0.010016546883940526,0.0,0.012830435200213262
rolling_vol_20d_cs_rank,0.02424945973428493,0.018970890588782,0.006005920065285498,0.00989541122233445,0.0,0.012676525285451339
avg_daily_traded_value_20d,0.014449987177471915,0.008056162751897343,0.010359918016086215,0.009668791436829555,0.043616072847191975,0.009208792042795287
amihud_20d_sector_z,0.009416943051069156,0.007868710033451038,0.010073777238282008,0.009412257076832718,0.0,0.013628719263922236
cashflow_buffer,0.014033360172165768,0.011814953045014126,0.008060410555899731,0.009186773302634052,0.0,0.011845758849775428
interest_coverage_cs_rank,0.014195530900931796,0.013987551170524843,0.006776726167611303,0.008939973668485366,0.0,0.008659605538030237
ebitda_margin,0.012383015791415845,0.009081175844251147,0.008856758447905054,0.008924083666808883,0.0,0.010856714297687664
downside_vol_60d_cs_rank,0.021551593698921356,0.013319248287296305,0.006873799243491508,0.008807433956632948,0.0,0.017692664012266584
imoex_realized_vol_20d,0.013130514677373648,0.018046417947484347,0.004822326205511274,0.008789553728103198,0.0356179834416405,0.014031997790088218
turnover_ratio,0.02406943696976419,0.007488144154514315,0.008913053570525803,0.008485580745722357,0.02909080669256894,0.00712329197398539
sector=banks_financials,2.3415602245489063e-18,0.02022045801102512,0.0033258423084672165,0.008394227019234589,0.04865067073764989,0.013553039716270079
book_to_market,0.01333396609605853,0.00907632172003578,0.007795444337728506,0.008179707552420689,0.03718470833787052,0.011968716685957873
interest_coverage,0.01652973408017082,0.012121586410467448,0.006468357069350164,0.00816432587168535,0.0,0.010011186366734379
average_market_correlation_60d,0.015041460169633529,0.012188174880979105,0.005093641622502178,0.007222001600045257,0.03481129920558556,0.007064576110475744
cbr_key_rate,0.007708372984325088,0.011894224037823718,0.0049882354914671636,0.0070600320553741314,0.034106251902109655,0.01551822321720947
rolling_vol_20d_sector_z,0.010617991982521289,0.012688329629573341,0.004364341273359907,0.006861537780223938,0.0,0.018162785592350628
interest_coverage_sector_z,0.006294409911552699,0.017799818060530645,0.0019323882809816604,0.0066926172148463565,0.0,0.016734468151495843
regime_cluster=regime_1,0.0005472897628892837,0.020524490544821417,0.0,0.006157347163446426,0.019033801687694123,0.010581848472958934
amihud_20d,0.011585812623432643,0.002621804921255655,0.007050285557355629,0.005721741366525638,0.03566949959760745,0.00639389419916175
regime_cluster=regime_0,0.001656633466859324,0.0179875642400701,0.0,0.005396269272021031,0.02703562232640593,0.008790186654259008
momentum_reversal_risk,0.00810674389976939,0.008890720446966698,0.00355636388248482,0.005156670851829383,0.0,0.006860436681561052
sector=technology,0.0,0.017059925439156146,0.0,0.005117977631746844,0.03754891472802776,0.013846673638358493
downside_vol_60d_sector_z,0.00830113394886979,0.0057752964927957375,0.003941378032024102,0.004491553570255593,0.0,0.010808846900418381
amihud_20d_cs_rank,0.011533737419171432,0.011737405526888794,0.0005623066625113437,0.00391483632182458,0.0,0.011765570297937091
liquidity_stress,0.017738796465623822,0.0056974217412151555,0.0018804946148136287,0.003025572752734087,0.0,0.008155081424992359
sector=oil_gas,0.0,0.004784962845618721,0.0007487837382175207,0.001959637470437881,0.0178312795502311,0.008057153779277139
sector=utilities,0.00023576233806851465,0.006267916358577701,0.0,0.0018803749075733105,0.01152902698986315,0.003557746376183249
sector=transport,0.0006732549824064723,0.0061468812716288035,0.0,0.0018440643814886413,0.014360162813209825,0.003327213745250099
sector=real_estate,0.00023279799907871033,0.0034084948371087293,0.0007491961122846722,0.0015469857297318896,0.007949553985362894,0.0041327560701150635
sector=telecom,0.0013593597636922903,0.002123803570942903,0.0007056808447379403,0.0011311176625994292,0.0057766837182547165,0.0013533645965809929
sector=consumer,0.0,0.0034723309883648306,0.0,0.0010416992965094493,0.011928029481693138,0.0008953631389970325
sector=retail,0.0,0.0034034973465021214,0.0,0.0010210492039506365,0.009351012861479668,0.0015044741437393407
sector=chemicals,0.0007594816525759798,0.0033195829052238375,0.0,0.0009958748715671515,0.005696130916326965,0.002043139180999027
sector=metals_mining,0.0003022614807835366,0.0028308354420247305,0.0,0.0008492506326074193,0.012325755261094565,0.00034131651483404354
net_debt_to_ebitda_missing,0.0,0.0024806465144216056,0.0,0.0007441939543264818,0.0,0.00026704522512048507
cash_flow_missing,0.0,0.0016601754695850105,0.0,0.0004980526408755032,0.0,0.0015044919519522004
interest_coverage_missing,0.0,0.00030825697973713297,0.0,9.247709392113991e-05,0.0,0.001601239828371767
latent_factor_3,0.0,0.0,0.0,0.0,0.0,0.010722907500798481
latent_factor_2,0.0,0.0,0.0,0.0,0.0,0.014181365196195565
latent_factor_1,0.0,0.0,0.0,0.0,0.0,0.017317513057997398
curve_inversion_flag,0.0,0.0,0.0,0.0,0.0,0.0
