architecture,candidate,validation_macro_f1_argmax
baseline_v1,weighted_ensemble_calibrated_policy,0.4907893689822551
baseline_v1,weighted_ensemble_argmax,0.4782594664104722
baseline_v1,extra,0.47415265913474786
baseline_v1,gb,0.3500944475483545
baseline_v1,rf,0.34599926927292657
regime_v1,weighted_ensemble_calibrated_policy,0.4033178588662041
regime_v1,weighted_ensemble_argmax,0.39616731159019714
regime_v1,extra,0.3952191599250423
regime_v1,gb,0.3500944475483545
regime_v1,rf,0.3340232644782051
enriched_v2,weighted_ensemble_calibrated_policy,0.4814109399121486
enriched_v2,weighted_ensemble_argmax,0.4655026264325237
enriched_v2,extra,0.4343363608069491
enriched_v2,gb,0.43113711001642036
enriched_v2,rf,0.3689941431117902
ann_regime_v3,weighted_ensemble_calibrated_policy,0.4687753379161912
ann_regime_v3,weighted_ensemble_argmax,0.46635549428845513
ann_regime_v3,extra,0.44428579281628205
ann_regime_v3,rf,0.43407344203100173
ann_regime_v3,gb,0.38812432597743335
