sector,rows,global_macro_f1,expert_macro_f1,gain,selected
consumer,12,0.25925925925925924,0.46296296296296297,0.20370370370370372,False
utilities,15,0.2333333333333333,0.3333333333333333,0.1,False
telecom,17,0.35000000000000003,0.40606060606060607,0.05606060606060603,False
transport,16,0.3074074074074074,0.33730158730158727,0.029894179894179862,False
technology,16,0.2740740740740741,0.28460038986354774,0.010526315789473661,False
banks_financials,14,0.3333333333333333,0.3333333333333333,0.0,False
chemicals,11,0.38974358974358975,0.38974358974358975,0.0,False
oil_gas,15,0.5352941176470588,0.43529411764705883,-0.09999999999999998,False
metals_mining,16,0.5252525252525252,0.4000000000000001,-0.12525252525252512,False
retail,17,0.5908496732026144,0.43469785575048725,-0.15615181745212714,False
real_estate,12,0.5222222222222223,0.26666666666666666,-0.2555555555555556,False
