feature,period,train_missing_rate,validation_missing_rate,train_mean,validation_mean,psi,drift_warning,test_missing_rate,test_mean
rate_fx_pressure,validation,0.0,0.0,68.13783276949297,94.888780865531,13.30948217226224,True,,
macro_pressure,validation,0.0,0.0,1.0850519890620476,1.815483620315064,13.306629583439559,True,,
average_market_correlation_60d,validation,0.0,0.0,0.382327659971235,0.5804906197278114,13.30377699461688,True,,
report_net_debt_yoy_change,validation,0.967741935483871,0.9411764705882353,-0.34334362737915813,2.037143252727331,12.781670588208257,True,,
cbr_key_rate,validation,0.0,0.0,15.076612903225806,20.666666666666668,12.53879496431418,True,,
report_integrated_stress,validation,0.9354838709677419,0.9411764705882353,4.130094637139259e+19,3751926573993902.0,11.915182091046328,True,,
report_ebitda_yoy_change,validation,0.8870967741935484,0.8823529411764706,18594.907715035148,260246.804545834,10.998340397294623,True,,
report_interest_coverage,validation,0.8991935483870968,0.8823529411764706,8997488524169.45,112455684457890.2,10.645273075021429,True,,
report_net_profit_yoy_change,validation,0.9032258064516129,0.7941176470588235,4.327174848758996,2.151191054954811,9.7106898166629,True,,
report_leverage_pressure,validation,0.8991935483870968,0.8823529411764706,1.3446050036535804e+20,1.0707863821010624e+16,9.622624490043474,True,,
usd_rub,validation,0.0,0.0,91.05171411290321,97.78773333333336,9.616462973898125,True,,
report_cashflow_pressure,validation,0.9233870967741935,0.8823529411764706,0.0324635143816963,0.016212476937452498,9.588366830892864,True,,
report_free_cf_margin,validation,0.9233870967741935,0.8823529411764706,66831745658869.4,0.09151449704142008,9.588366830892864,True,,
report_total_debt_yoy_change,validation,0.9596774193548387,0.8823529411764706,23687073.725476433,117791124.75,9.532180516466783,True,,
ofz_slope_10y_2y,validation,0.0,0.0,-0.5539112903225805,-3.2483333333333344,9.486104103401116,True,,
imoex_realized_vol_20d,validation,0.0,0.0,0.008466638488288193,0.016707164378449203,9.483118570171591,True,,
report_debt_to_assets,validation,0.9153225806451613,0.8823529411764706,761515383.6214126,822369.1382280975,9.371005055585554,True,,
report_net_debt,validation,0.8991935483870968,0.8823529411764706,2.9146200582777835e+20,4.3226670646447456e+17,9.310822170390708,True,,
report_net_debt_to_ebitda,validation,0.8991935483870968,0.8823529411764706,1.4566528813664164e+20,1.0806667639428254e+16,9.310822170390708,True,,
report_cash_and_equivalents,validation,0.8790322580645161,0.8823529411764706,88052729724.66667,101115095653.5,9.250747473292263,True,,
report_ebitda_margin,validation,0.7782258064516129,0.7352941176470589,757627325.6900358,1547322265.7271872,9.016559192890762,True,,
report_operating_cash_flow,validation,0.9032258064516129,0.8823529411764706,5026413769565070.0,101060111017.5,8.878997516741446,True,,
report_free_cash_flow,validation,0.9354838709677419,0.8823529411764706,77.6875,36.35,8.830887869571127,True,,
report_operating_cf_margin,validation,0.9233870967741935,0.8823529411764706,66831766934682.29,50530055.86077958,8.72252364189966,True,,
report_net_profit,validation,0.8346774193548387,0.696078431372549,33895419545.814636,92803532909.17741,6.866055179101912,True,,
report_ebitda,validation,0.7782258064516129,0.7352941176470589,36811248460512.77,449836515618697.75,6.793582087502041,True,,
report_total_debt,validation,0.8870967741935484,0.8235294117647058,2.6023393386914428e+20,2.8817787171971344e+17,6.551826897435985,True,,
report_revenue,validation,0.7661290322580645,0.6764705882352942,3.759394777364992e+16,2645459515357.6816,6.506445041744075,True,,
report_equity_ratio,validation,0.8991935483870968,0.8235294117647058,0.3630783892350988,0.20951302388606508,6.291130106419066,True,,
report_text_risk_density_cs_rank,validation,0.6491935483870968,0.5882352941176471,0.5725232621784346,0.5714285714285714,5.727638481721439,True,,
report_revenue_yoy_change,validation,0.8629032258064516,0.8235294117647058,15819776.329593578,29881090.8052883,4.845958233245309,True,,
report_capex,validation,0.7782258064516129,0.7352941176470589,2.8540229409333012e+16,5.813725345286489e+16,4.675735723420642,True,,
report_financial_pressure_cs_rank,validation,0.6532258064516129,0.5882352941176471,0.5733665559246954,0.5714285714285714,4.0730673528726555,True,,
downside_vol_60d,validation,0.0,0.0,0.009374988318716783,0.012602713182279396,3.558552739378432,True,,
report_capex_intensity,validation,0.7782258064516129,0.7352941176470589,24639109135.415173,5840689.124761838,3.491981169655178,True,,
report_extraction_quality,validation,0.6491935483870968,0.5882352941176471,0.47466574712643683,0.5514245238095238,3.3434676272839603,True,,
report_interest_coverage_cs_rank,validation,0.8991935483870968,0.8823529411764706,0.74,0.75,2.9352124035754126,True,,
report_net_margin,validation,0.8548387096774194,0.7058823529411765,6.715343313231875,12.980321655097876,2.8828524008068044,True,,
