feature,period,train_missing_rate,validation_missing_rate,train_mean,validation_mean,psi,drift_warning,test_missing_rate,test_mean
imoex_realized_vol_20d,validation,0.0,0.0,0.011928066054272993,0.024035108455884652,13.392612600078818,True,,
macro_pressure,validation,0.0,0.0,0.5882738819918943,1.0296651806926995,13.221108887922426,True,,
rate_fx_pressure,validation,0.0,0.0,36.646972751726246,45.616718409267776,13.21547089721908,True,,
cbr_key_rate,validation,0.0,0.0,8.277743867663071,10.301113739724652,13.210784798031206,True,,
average_market_correlation_60d,validation,0.0,0.0,0.2366717382571517,0.6154266226589105,13.025010217164112,True,,
ofz_slope_10y_2y,validation,0.0,0.0,0.6322984106256501,0.3345490218183451,9.578735499131172,True,,
usd_rub,validation,0.0,0.0,82.58877206875377,82.8033398912528,7.479142599021039,True,,
downside_vol_60d,validation,0.0,0.0,0.01805024880141684,0.022367991174364794,3.353163470452028,True,,
rolling_vol_20d,validation,0.0,0.0,0.021217874124667028,0.02626052266307578,3.304740406875738,True,,
avg_daily_traded_value_20d,validation,0.0,0.0,397049660.96414065,398423012.94514316,0.4443747849232292,True,,
spread_proxy,validation,0.0,0.0,0.0007493404178002923,0.0009088800396199972,0.3930192170311543,True,,
book_to_market,validation,0.0,0.0,0.9906856149681077,0.9345717252346126,0.34184267371078136,True,,
free_cash_flow,validation,0.06535947712418301,0.10606060606060606,0.07284086415099181,0.07896786564807158,0.3155962888312981,True,,
amihud_20d,validation,0.0,0.0,4.0291282397409093e-10,5.586110503509541e-10,0.29289033932661823,True,,
debt_service_stress,validation,0.06535947712418301,0.10606060606060606,0.5143446049105246,0.4262878070899418,0.2876686774350315,True,,
turnover_ratio,validation,0.0,0.0,0.013723284607624868,0.012770653680831252,0.25882647672365944,True,,
fundamental_fragility,validation,0.06535947712418301,0.10606060606060606,0.31637634031689876,0.21929048501128318,0.2521184188570255,True,,
beta_60d,validation,0.0,0.0,0.7309539541294672,0.6357664332481322,0.2363224399418636,True,,
liquidity_stress,validation,0.0,0.0,-1.8913690900894897,-1.6228305479119665,0.20579757534145543,True,,
downside_to_total_vol,validation,0.0,0.0,0.8504612372319483,0.8525155124685276,0.17639485640850977,False,,
size_liquidity_interaction,validation,0.0,0.0,215.6204878816203,216.31010129660453,0.17151543863388014,False,,
operating_cash_flow,validation,0.06535947712418301,0.10606060606060606,0.12480927339764616,0.13841900488243086,0.15294857661156783,False,,
ebitda_margin,validation,0.06535947712418301,0.10606060606060606,0.2508910549752436,0.23527981595748657,0.13838763605328408,False,,
liquidity_vol_interaction,validation,0.0,0.0,-0.04002531815537733,-0.0414679793566798,0.12701361521000298,False,,
momentum_6m,validation,0.0,0.0,0.04197378850004407,0.022714091361067754,0.12537973469527763,False,,
interest_coverage,validation,0.06535947712418301,0.10606060606060606,4.264658716963927,4.451403341352071,0.12502233729965467,False,,
beta_vol_interaction,validation,0.0,0.0,0.016099756594177082,0.01727536076839693,0.11880047348093212,False,,
