feature,rf_importance,extra_importance,enriched_importance,regime_importance,ann_branch_importance
regime_cluster=regime_1,0.02428229292926697,0.10166164519201233,0.10166164519201233,0.05590650331566418,0.031268988248120876
net_debt_to_ebitda_cs_rank,0.10406433520748574,0.08901796092678853,0.08901796092678853,0.0,0.05903304579051824
regime_cluster=regime_0,0.03682559305956953,0.0805074646626465,0.0805074646626465,0.07414323003342257,0.02623187210218321
net_debt_to_ebitda,0.07358651109514625,0.05996582649857115,0.05996582649857115,0.0,0.06980147640516887
usd_rub,0.008989698571983472,0.04492644865532231,0.04492644865532231,0.07926696450546757,0.018231284171514626
sector=retail,0.0,0.04183098520874384,0.04183098520874384,0.07445159576928315,0.007691520115715487
log_market_cap,0.02246377659923854,0.03822891810138423,0.03822891810138423,0.07700078350338607,0.02867171041121902
beta_vol_interaction,0.020804250354847616,0.03374123907593521,0.03374123907593521,0.0,0.02251095308169679
debt_service_stress,0.02338608220241788,0.029000972049964494,0.029000972049964494,0.0,0.042464047016042374
log_market_cap_cs_rank,0.02464731106930479,0.02309457981384058,0.02309457981384058,0.0,0.016642178671124146
avg_daily_traded_value_20d_sector_z,0.01377595050112694,0.021586107555262007,0.021586107555262007,0.0,0.017898862919469908
cbr_key_rate,0.002490935249598023,0.019377311669152575,0.019377311669152575,0.043547262123298715,0.037800092323001966
sector=transport,0.0,0.019162692893724218,0.019162692893724218,0.015656795484193686,0.0016258412451518546
momentum_reversal_risk,0.01268030396354245,0.019017918231950683,0.019017918231950683,0.0,0.0011652187555521983
downside_to_total_vol,0.006822795824415355,0.017828050092059154,0.017828050092059154,0.0,0.0012423100968926308
sector=real_estate,0.0,0.016536705292619594,0.016536705292619594,0.02555073807211142,0.01236327517515379
sector=chemicals,0.006106701303577686,0.016124516809350647,0.016124516809350647,0.015067355274983209,0.0
beta_60d_cs_rank,0.016247931891989868,0.015867875429930792,0.015867875429930792,0.0,0.005328257246304285
amihud_20d_sector_z,0.0,0.015831909898215518,0.015831909898215518,0.0,0.004169977534717275
rolling_vol_20d,0.022456209480004766,0.015656849433849852,0.015656849433849852,0.03927766970614183,0.029989018132593505
interest_coverage_cs_rank,0.02569757244811996,0.015549592879782657,0.015549592879782657,0.0,0.030345322578090576
