ticker,observations,report_covered_observations,coverage_rate,first_decision_date,last_decision_date,median_report_lag_days
TCK02,25,22,0.88,2023-08-31,2025-08-31,47.0
TCK07,25,22,0.88,2023-07-31,2025-08-31,47.0
TCK10,24,21,0.875,2023-08-31,2025-08-31,47.0
TCK05,22,19,0.8636363636363636,2023-08-31,2025-08-31,47.0
TCK04,26,22,0.8461538461538461,2023-07-31,2025-08-31,47.0
TCK11,26,22,0.8461538461538461,2023-07-31,2025-08-31,47.0
TCK03,25,21,0.84,2023-07-31,2025-08-31,47.0
TCK08,24,20,0.8333333333333334,2023-07-31,2025-08-31,47.0
TCK09,24,20,0.8333333333333334,2023-07-31,2025-08-31,46.5
TCK12,24,20,0.8333333333333334,2023-07-31,2025-08-31,46.5
TCK01,23,19,0.8260869565217391,2023-07-31,2025-08-31,47.0
TCK06,20,16,0.8,2023-07-31,2025-08-31,47.0
