feature,period,train_missing_rate,validation_missing_rate,train_mean,validation_mean,psi,drift_warning,test_missing_rate,test_mean
imoex_realized_vol_20d,validation,0.0,0.0,0.011928066054272993,0.024035108455884652,13.392612600078818,True,,
macro_pressure,validation,0.0,0.0,0.5882738819918943,1.0296651806926995,13.221108887922426,True,,
rate_fx_pressure,validation,0.0,0.0,36.646972751726246,45.616718409267776,13.21547089721908,True,,
cbr_key_rate,validation,0.0,0.0,8.277743867663071,10.301113739724652,13.210784798031206,True,,
average_market_correlation_60d,validation,0.0,0.0,0.2366717382571517,0.6154266226589105,13.025010217164112,True,,
ofz_slope_10y_2y,validation,0.0,0.0,0.6322984106256501,0.3345490218183451,9.578735499131172,True,,
usd_rub,validation,0.0,0.0,82.58877206875377,82.8033398912528,7.479142599021039,True,,
report_staleness_weight,validation,0.2875816993464052,0.0,0.7357925590263811,0.7190772028837858,6.599601138659159,True,,
report_lag_days,validation,0.2875816993464052,0.0,56.06422018348624,63.36363636363637,5.141014739298134,True,,
report_net_margin,validation,0.2875816993464052,0.0,0.1309630562519266,0.14292889254811986,4.55266585816968,True,,
report_available,validation,0.0,0.0,0.7124183006535948,1.0,3.712193323709947,True,,
report_stale_flag,validation,0.0,0.0,0.2875816993464052,0.0,3.712193323709947,True,,
report_capex,validation,0.2875816993464052,0.0,47374335.27522936,47756265.77272727,3.6717921075406035,True,,
downside_vol_60d,validation,0.0,0.0,0.01805024880141684,0.022367991174364794,3.353163470452028,True,,
rolling_vol_20d,validation,0.0,0.0,0.021217874124667028,0.02626052266307578,3.304740406875738,True,,
report_free_cf_margin,validation,0.2875816993464052,0.0,0.04588207977818797,0.1288491065412139,3.131858181914114,True,,
report_capex_intensity,validation,0.2875816993464052,0.0,0.07739677711911332,0.06930390010339561,2.682523679759202,True,,
report_text_risk_density_cs_rank,validation,0.2875816993464052,0.0,0.5458715596330275,0.5454545454545454,2.6600168597696494,True,,
report_debt_to_assets,validation,0.2875816993464052,0.0,0.33683650673256726,0.2904904682478555,2.6071696022374318,True,,
report_net_debt,validation,0.2875816993464052,0.0,269977870.7798165,281395727.469697,2.5725649516016147,True,,
report_free_cash_flow,validation,0.2875816993464052,0.0,40317320.541284405,56624551.39393939,2.5406528233974286,True,,
report_net_debt_yoy_change,validation,0.6797385620915033,0.0,0.6337969919481022,0.8684008393302519,2.489491441229346,True,,
report_text_risk_density,validation,0.2875816993464052,0.0,0.01287836767395824,0.01159488720228083,2.3625501328564686,True,,
report_cashflow_pressure,validation,0.2875816993464052,0.0,0.3637720276784741,0.3082401346276972,2.318394592602518,True,,
report_extraction_quality,validation,0.2875816993464052,0.0,0.8527911009174313,0.8527295454545456,1.8942464765658573,True,,
report_cash_and_equivalents,validation,0.2875816993464052,0.0,29916870.642201833,35304791.34848485,1.7705124473994587,True,,
report_equity_ratio,validation,0.2875816993464052,0.0,0.659637444482477,0.6948532851782778,1.4496698203589125,True,,
