ticker,company_name,report_period_end,publish_date,report_type,accounting_standard,language,source_name,source_url,local_path
TCK01,TCK01,2023-09-30,2023-11-14,synthetic_ifrs_interim,IFRS,ru,synthetic_demo,,
TCK01,TCK01,2023-12-31,2024-04-09,synthetic_ifrs_annual,IFRS,ru,synthetic_demo,,
TCK01,TCK01,2024-03-31,2024-05-15,synthetic_ifrs_interim,IFRS,ru,synthetic_demo,,
TCK01,TCK01,2024-06-30,2024-08-14,synthetic_ifrs_interim,IFRS,ru,synthetic_demo,,
TCK01,TCK01,2024-09-30,2024-11-14,synthetic_ifrs_interim,IFRS,ru,synthetic_demo,,
TCK01,TCK01,2024-12-31,2025-04-10,synthetic_ifrs_annual,IFRS,ru,synthetic_demo,,
TCK01,TCK01,2025-03-31,2025-05-15,synthetic_ifrs_interim,IFRS,ru,synthetic_demo,,
TCK01,TCK01,2025-06-30,2025-08-14,synthetic_ifrs_interim,IFRS,ru,synthetic_demo,,
TCK02,TCK02,2023-09-30,2023-11-14,synthetic_ifrs_interim,IFRS,ru,synthetic_demo,,
TCK02,TCK02,2023-12-31,2024-04-09,synthetic_ifrs_annual,IFRS,ru,synthetic_demo,,
TCK02,TCK02,2024-03-31,2024-05-15,synthetic_ifrs_interim,IFRS,ru,synthetic_demo,,
TCK02,TCK02,2024-06-30,2024-08-14,synthetic_ifrs_interim,IFRS,ru,synthetic_demo,,
TCK02,TCK02,2024-09-30,2024-11-14,synthetic_ifrs_interim,IFRS,ru,synthetic_demo,,
TCK02,TCK02,2024-12-31,2025-04-10,synthetic_ifrs_annual,IFRS,ru,synthetic_demo,,
TCK02,TCK02,2025-03-31,2025-05-15,synthetic_ifrs_interim,IFRS,ru,synthetic_demo,,
TCK02,TCK02,2025-06-30,2025-08-14,synthetic_ifrs_interim,IFRS,ru,synthetic_demo,,
TCK03,TCK03,2023-09-30,2023-11-14,synthetic_ifrs_interim,IFRS,ru,synthetic_demo,,
TCK03,TCK03,2023-12-31,2024-04-09,synthetic_ifrs_annual,IFRS,ru,synthetic_demo,,
TCK03,TCK03,2024-03-31,2024-05-15,synthetic_ifrs_interim,IFRS,ru,synthetic_demo,,
TCK03,TCK03,2024-06-30,2024-08-14,synthetic_ifrs_interim,IFRS,ru,synthetic_demo,,
TCK03,TCK03,2024-09-30,2024-11-14,synthetic_ifrs_interim,IFRS,ru,synthetic_demo,,
